,title,year,duration,genres,rating,synopsis,directors,stars
0,Dolittle,2020.0,101,"
Adventure, Comedy, Family            ",5.6,"
A physician who can talk to animals embarks on an adventure to find a legendary island with a young apprentice and a crew of strange pets.",Stephen Gaghan,"Robert Downey Jr.,Antonio Banderas,Michael Sheen,Jim Broadbent"
1,The Grudge,2020.0,94,"
Fantasy, Horror            ",4.4,"
A house is cursed by a vengeful ghost that dooms those who enter it with a violent death.",Nicolas Pesce,"Tara Westwood,Junko Bailey,David Lawrence Brown,Zoe Fish"
2,Ghost Stories,2020.0,144,"
Horror, Thriller            ",4.4,"
The winning team of ""Lust Stories"" reunites to tell some spine-chilling tales. ""Ghost Stories"" is a 2020 Indian anthology horror film consisting of four short film segments.","Zoya Akhtar,Dibakar Banerjee,Karan Johar,Anurag Kashyap","Janhvi Kapoor,Surekha Sikri,Amruta Subhash,Vijay Varma"
3,Invasion,2020.0,134,"
Action, Sci-Fi            ",5.6,"
With the fall of the alien ship Julia's life changed, now three years later mankind is about to experience new encounter.",Fedor Bondarchuk,"Irina Starshenbaum,Rinal Mukhametov,Alexander Petrov,Yuriy Borisov"
4,Antony and Cleopatra 2020,2020.0,72,"
Drama, History            ",,"
Romeo and Juliet for adults: a Roman rules a third the world until he is torn between love and politics by his mistress, Cleopatra Queen of Egypt.",Michael Andres,"Tracy Baumbach,Chadwick Baumbach,Lillet Baumbach,Aaron Angress"
5,Slashlorette Party,2020.0,78,"
Horror            ",3.3,"
A bride-to-be is taken to a woodland cabin for a bachelorette party, but the fun stops when an uninvited party starts cutting down the guest list.","Paul Ragsdale,Angelica De Alba","Ginger Lynn,Krystal Shay,Nina Lanee Kent,Molly Souza"
6,Bikini Valley Car Wash,2020.0,95,"
Comedy            ",3.3,"
When Amanda and Britney's obligations and responsibilities become overwhelming, the two roommates are forced to resort to using their biggest assets to resolves their problems, their brains - and bikinis.",Jordan F. Ghanma,"Maralynn Adams,Teryn Apple,Sadie Bentley,Alejandra Cardenas"
7,Tolo Tolo,2020.0,90,"
Comedy, Family            ",5.8,"
Pierfrancesco ""Checco"" Zalone, a failed entrepreneur, seeks a new life as a waiter on a holiday village in Africa, but the appearance of ISIS forces him to travel again.",Checco Zalone,"Checco Zalone,Souleymane Sylla,Manda Touré,Nassor Said Birya"
8,Beautiful,2020.0,123,"
Drama            ",7.3,"
Beautiful is about ""Can a man take it , if his woman becomes more successful than him?"" It's not about professional jealousy like Abhimaan and Aashiqui 2 but it's about Male pride It's a ...                ","Agasthya Manju,Nilxrak","K K Binojee,Naina Ganguly,Nilxin,Nilxrak"
9,Turnt,2020.0,85,"
Drama            ",3.2,"
This is a story of a young man named Kenny Stanford who had dreams of being an Successful artist in the music industry, but these dreams were cut short.",Mann Robinson,"Marian Berry,Torrei Hart,Benzino,Nicole Alexander"
10,Baba Parasi,2020.0,116,"
Comedy            ",4.6,"
A group of siblings that share nothing but a father come together after the patriarch's death to compete for his fortune. He left a save for his children, but took the password to the grave with him.",Selçuk Aydemir,"Ahmet Kural,Murat Cemcir,Devrim Yakut,Rasim Öztekin"
11,The Blackwell Ghost 4,2020.0,77,"
Horror            ",7.0,"
Turner returns to the light foot house to continue his investigation. This time he researched into the first victim Susan. He finds out from the detective there was a note left when light ...                ",Turner Clay,Turner Clay
